firstname,lastname,url,party,twitter
Glenda,Jackson,uk.org.publicwhip/member/1614,Lab
Gordon,Banks,uk.org.publicwhip/member/2005,Lab
Gordon,Brown,uk.org.publicwhip/member/1997,Lab
Gordon,Marsden,uk.org.publicwhip/member/1425,Lab
Gordon,Prentice,uk.org.publicwhip/member/1757,Lab
Graham,Allen,uk.org.publicwhip/member/1747,Lab
Graham,Brady,uk.org.publicwhip/member/1371,Con
Graham,Stringer,uk.org.publicwhip/member/1704,Lab
Graham,Stuart,uk.org.publicwhip/member/1406,Con,grahamstuart
Grant,Shapps,uk.org.publicwhip/member/1917,Con,grantshapps
Greg,Clark,uk.org.publicwhip/member/1884,Con
Greg,Hands,uk.org.publicwhip/member/1610,Con
Greg,Knight,uk.org.publicwhip/member/1954,Con
Greg,Mulholland,uk.org.publicwhip/member/1672,LDem
Greg,Pope,uk.org.publicwhip/member/1650,Lab
Gregory,Barker,uk.org.publicwhip/member/1407,Con
Gregory,Campbell,uk.org.publicwhip/member/1693,DUP
Gwyn,Prosser,uk.org.publicwhip/member/1550,Lab
Harriet,Harman,uk.org.publicwhip/member/1472,Lab,HarrietHarman
Harry,Cohen,uk.org.publicwhip/member/1684,Lab
Hazel,Blears,uk.org.publicwhip/member/1802,Lab,HazelBlearsMP
Helen,Goodman,uk.org.publicwhip/member/1421,Lab
Helen,Jones,uk.org.publicwhip/member/1907,Lab
Helen,Southworth,uk.org.publicwhip/member/1908,Lab
Henry,Bellingham,uk.org.publicwhip/member/1737,Con
Hilary,Armstrong,uk.org.publicwhip/member/1557,Lab
Hilary,Benn,uk.org.publicwhip/member/1669,Lab
Howard,Stoate,uk.org.publicwhip/member/1528,Lab
Hugh,Bayley,uk.org.publicwhip/member/1953,Lab
Hugh,Robertson,uk.org.publicwhip/member/1583,Con
Hugo,Swire,uk.org.publicwhip/member/1538,Con
Humfrey,Malins,uk.org.publicwhip/member/1933,Con
Huw,Irranca-Davies,uk.org.publicwhip/member/1750,Lab
Hywel,Francis,uk.org.publicwhip/member/1368,Lab
Hywel,Williams,uk.org.publicwhip/member/1469,PC,HywelWplaidcym
Iain,Duncan Smith,uk.org.publicwhip/member/1499,Con
Iain,Wright,uk.org.publicwhip/member/1620,Lab
Ian,Austin,uk.org.publicwhip/member/1553,Lab
Ian,Cawsey,uk.org.publicwhip/member/1452,Lab,iancawsey
Ian,Davidson,uk.org.publicwhip/member/1991,Lab
Ian,Liddell-Grainger,uk.org.publicwhip/member/1451,Con
Ian,Lucas,uk.org.publicwhip/member/1947,Lab
Ian,McCartney,uk.org.publicwhip/member/1702,Lab
Ian,Paisley,uk.org.publicwhip/member/1375,DUP
Ian,Pearson,uk.org.publicwhip/member/1554,Lab
Ian,Stewart,uk.org.publicwhip/member/1566,Lab
Ian,Taylor,uk.org.publicwhip/member/1578,Con
Iris,Robinson,uk.org.publicwhip/member/1846,DUP
Ivan,Lewis,uk.org.publicwhip/member/1467,Lab
Jack,Straw,uk.org.publicwhip/member/1423,Lab
Jacqui,Lait,uk.org.publicwhip/member/1395,Con
Jacqui,Smith,uk.org.publicwhip/member/1776,Lab
James,Arbuthnot,uk.org.publicwhip/member/1612,Con
James,Brokenshire,uk.org.publicwhip/member/1640,Con
James,Clappison,uk.org.publicwhip/member/1634,Con
James,Duddridge,uk.org.publicwhip/member/1785,Con
James,Gray,uk.org.publicwhip/member/1926,Con
James,McGovern,uk.org.publicwhip/member/1974,Lab
James,Paice,uk.org.publicwhip/member/1477,Con
James,Plaskitt,uk.org.publicwhip/member/1909,Lab,JamesPlaskittMP
James,Purnell,uk.org.publicwhip/member/1836,Lab,jimpurnell
Jamie,Reed,uk.org.publicwhip/member/1511,Lab
Jane,Kennedy,uk.org.publicwhip/member/1690,Lab
Janet,Anderson,uk.org.publicwhip/member/1788,Lab
Janet,Dean,uk.org.publicwhip/member/1465,Lab
Jeff,Ennis,uk.org.publicwhip/member/1385,Lab
Jeffrey M,Donaldson,uk.org.publicwhip/member/1666,DUP
Jennifer,Willott,uk.org.publicwhip/member/1480,LDem
Jeremy,Browne,uk.org.publicwhip/member/1869,LDem
Jeremy,Corbyn,uk.org.publicwhip/member/1655,Lab
Jeremy,Hunt,uk.org.publicwhip/member/1859,Con
Jeremy,Wright,uk.org.publicwhip/member/1791,Con
Jessica,Morden,uk.org.publicwhip/member/1732,Lab
Jim,Cousins,uk.org.publicwhip/member/1729,Lab
Jim,Cunningham,uk.org.publicwhip/member/1518,Lab
Jim,Devine,uk.org.publicwhip/member/2020,Lab
Jim,Dobbin,uk.org.publicwhip/member/1636,Lab
Jim,Dowd,uk.org.publicwhip/member/1683,Lab
Jim,Fitzpatrick,uk.org.publicwhip/member/1765,Lab
Jim,Knight,uk.org.publicwhip/member/1548,Lab,jimknightmp
Jim,Murphy,uk.org.publicwhip/member/2010,Lab,ScotlandOffice
Jim,Sheridan,uk.org.publicwhip/member/2007,Lab
Jimmy,Hood,uk.org.publicwhip/member/1998,Lab
Jo,Swinson,uk.org.publicwhip/member/1971,LDem,joswinson
Joan,Humble,uk.org.publicwhip/member/1424,Lab
Joan,Ruddock,uk.org.publicwhip/member/1681,Lab
Joan,Ryan,uk.org.publicwhip/member/1572,Lab
Joan,Walley,uk.org.publicwhip/member/1842,Lab
Joe,Benton,uk.org.publicwhip/member/1434,Lab
John,Austin,uk.org.publicwhip/member/1577,Lab
John,Baron,uk.org.publicwhip/member/1409,Con
John,Barrett,uk.org.publicwhip/member/1982,LDem
John,Battle,uk.org.publicwhip/member/1673,Lab
John,Bercow,uk.org.publicwhip/member/40031,SPK
John,Butterfill,uk.org.publicwhip/member/1438,Con
John,Cummings,uk.org.publicwhip/member/1562,Lab
John,Denham,uk.org.publicwhip/member/1827,Lab,Johndenhammp
John,Greenway,uk.org.publicwhip/member/1796,Con
John,Grogan,uk.org.publicwhip/member/1807,Lab
John,Gummer,uk.org.publicwhip/member/1852,Con
John,Hayes,uk.org.publicwhip/member/1825,Con
John,Healey,uk.org.publicwhip/member/1918,Lab
John,Hemming,uk.org.publicwhip/member/1420,LDem
John,Heppell,uk.org.publicwhip/member/1746,Lab
John,Horam,uk.org.publicwhip/member/1754,Con
John,Howell,uk.org.publicwhip/member/2033,Con
John,Hutton,uk.org.publicwhip/member/1387,Lab
John,Leech,uk.org.publicwhip/member/1707,LDem
John,Mann,uk.org.publicwhip/member/1390,Lab
John,Maples,uk.org.publicwhip/member/1847,Con
John,Mason,uk.org.publicwhip/member/2035,SNP
John,McDonnell,uk.org.publicwhip/member/1624,Lab
John,McFall,uk.org.publicwhip/member/1972,Lab
John,Penrose,uk.org.publicwhip/member/1924,Con
John,Prescott,uk.org.publicwhip/member/1646,Lab,JohnPrescott
John,Pugh,uk.org.publicwhip/member/1830,LDem
John,Randall,uk.org.publicwhip/member/1893,Con
John,Redwood,uk.org.publicwhip/member/1934,Con
John,Reid,uk.org.publicwhip/member/1958,Lab
John,Robertson,uk.org.publicwhip/member/1989,Lab
John,Smith,uk.org.publicwhip/member/1895,Lab
John,Spellar,uk.org.publicwhip/member/1906,Lab,spellar
John,Stanley,uk.org.publicwhip/member/1877,Con
John,Thurso,uk.org.publicwhip/member/1966,LDem
John,Whittingdale,uk.org.publicwhip/member/1703,Con
Jon,Cruddas,uk.org.publicwhip/member/1526,Lab
Jon,Trickett,uk.org.publicwhip/member/1627,Lab
Jonathan R,Shaw,uk.org.publicwhip/member/1491,Lab
Jonathan,Djanogly,uk.org.publicwhip/member/1649,Con
Judy,Mallaber,uk.org.publicwhip/member/1373,Lab
Julia,Goldsworthy,uk.org.publicwhip/member/1581,LDem,jgoldsworthy
Julian,Brazier,uk.org.publicwhip/member/1479,Con
Julian,Lewis,uk.org.publicwhip/member/1724,Con
Julie,Kirkbride,uk.org.publicwhip/member/1460,Con
Julie,Morgan,uk.org.publicwhip/member/1481,Lab
Justine,Greening,uk.org.publicwhip/member/1771,Con
Kali,Mountford,uk.org.publicwhip/member/1508,Lab
Karen,Buck,uk.org.publicwhip/member/1777,Lab
Kate,Hoey,uk.org.publicwhip/member/1897,Lab
Katy,Clark,uk.org.publicwhip/member/1963,Lab
Keith,Hill,uk.org.publicwhip/member/1848,Lab
Keith,Simpson,uk.org.publicwhip/member/1735,Con
Keith,Vaz,uk.org.publicwhip/member/1674,Lab
Kelvin,Hopkins,uk.org.publicwhip/member/1697,Lab
Ken,Purchase,uk.org.publicwhip/member/1935,Lab
Kenneth,Clarke,uk.org.publicwhip/member/1794,Con
Kerry,McCarthy,uk.org.publicwhip/member/1455,Lab,KerryMP
Kevan,Jones,uk.org.publicwhip/member/1556,Lab
Kevin,Barron,uk.org.publicwhip/member/1789,Lab
Kevin,Brennan,uk.org.publicwhip/member/1483,Lab,KevinBrennanMP
Khalid,Mahmood,uk.org.publicwhip/member/1417,Lab
Kim,Howells,uk.org.publicwhip/member/1763,Lab
Kitty,Ussher,uk.org.publicwhip/member/1464,Lab
Lady,Hermon,uk.org.publicwhip/member/1551,UUP
Laura,Moffatt,uk.org.publicwhip/member/1519,Lab
Laurence,Robertson,uk.org.publicwhip/member/1872,Con
Lee,Scott,uk.org.publicwhip/member/1651,Con
Lembit,Ãpik,uk.org.publicwhip/member/1720,LDem,lembitopik
Liam,Byrne,uk.org.publicwhip/member/1414,Lab,LiamByrneMP
Liam,Fox,uk.org.publicwhip/member/1938,Con
Linda,Gilroy,uk.org.publicwhip/member/1761,Lab,LindaGilroyMP
Linda,Riordan,uk.org.publicwhip/member/1607,Lab,Linda_Riordan
Lindsay,Hoyle,uk.org.publicwhip/member/1501,Lab
Lindsay,Roy,uk.org.publicwhip/member/2037,Lab
Liz,Blackman,uk.org.publicwhip/member/1576,Lab
Lorely,Burt,uk.org.publicwhip/member/1823,LDem
Louise,Ellman,uk.org.publicwhip/member/1688,Lab
Lyn,Brown,uk.org.publicwhip/member/1921,Lab
Lynda,Waltho,uk.org.publicwhip/member/1845,Lab
Lynne,Featherstone,uk.org.publicwhip/member/1641,LDem,lfeatherstone
Lynne,Jones,uk.org.publicwhip/member/1418,Lab
Madeleine,Moon,uk.org.publicwhip/member/1450,Lab
Malcolm,Bruce,uk.org.publicwhip/member/1993,LDem,malcolmbruce
Malcolm,Moss,uk.org.publicwhip/member/1474,Con
Malcolm,Rifkind,uk.org.publicwhip/member/1660,Con
Malcolm,Wicks,uk.org.publicwhip/member/1523,Lab
Margaret,Beckett,uk.org.publicwhip/member/1533,Lab
Margaret,Hodge,uk.org.publicwhip/member/1383,Lab
Margaret,Moran,uk.org.publicwhip/member/1698,Lab,margaretmoranmp
Maria,Eagle,uk.org.publicwhip/member/1687,Lab
Maria,Miller,uk.org.publicwhip/member/1389,Con
Mark,Durkan,uk.org.publicwhip/member/1589,SDLP,markdurkan
Mark,Field,uk.org.publicwhip/member/1503,Con
Mark,Fisher,uk.org.publicwhip/member/1841,Lab
Mark,Francois,uk.org.publicwhip/member/1772,Con
Mark,Harper,uk.org.publicwhip/member/1588,Con
Mark,Hendrick,uk.org.publicwhip/member/1769,Lab
Mark,Hoban,uk.org.publicwhip/member/1582,Con
Mark,Hunter,uk.org.publicwhip/member/2016,LDem
Mark,Lancaster,uk.org.publicwhip/member/1715,Con
Mark,Lazarowicz,uk.org.publicwhip/member/1979,Lab
Mark,Oaten,uk.org.publicwhip/member/1928,LDem
Mark,Prisk,uk.org.publicwhip/member/1631,Con
Mark,Pritchard,uk.org.publicwhip/member/1946,Con
Mark,Simmonds,uk.org.publicwhip/member/1435,Con
Mark,Tami,uk.org.publicwhip/member/1372,Lab
Mark,Todd,uk.org.publicwhip/member/1535,Lab
Mark,Williams,uk.org.publicwhip/member/1489,LDem
Marsha,Singh,uk.org.publicwhip/member/1442,Lab
Martin,Caton,uk.org.publicwhip/member/1597,Lab
Martin,Horwood,uk.org.publicwhip/member/1494,LDem
Martin,Linton,uk.org.publicwhip/member/1393,Lab
Martin,McGuinness,uk.org.publicwhip/member/1890,SF
Martin,Salter,uk.org.publicwhip/member/1774,Lab
Martyn,Jones,uk.org.publicwhip/member/1505,Lab
Mary,Creagh,uk.org.publicwhip/member/1898,Lab
Matthew,Taylor,uk.org.publicwhip/member/1883,LDem
Meg,Hillier,uk.org.publicwhip/member/1605,Lab
Meg,Munn,uk.org.publicwhip/member/1813,Lab
Menzies,Campbell,uk.org.publicwhip/member/1984,LDem
Michael Jabez,Foster,uk.org.publicwhip/member/1622,Lab
Michael,Ancram,uk.org.publicwhip/member/1537,Con
Michael,Clapham,uk.org.publicwhip/member/1386,Lab
Michael,Connarty,uk.org.publicwhip/member/1999,Lab
Michael,Fabricant,uk.org.publicwhip/member/1685,Con,Mike_Fabricant
Michael,Fallon,uk.org.publicwhip/member/1808,Con
Michael,Foster,uk.org.publicwhip/member/1939,Lab,MikeFosterMP
Michael,Gove,uk.org.publicwhip/member/1858,Con
Michael,Howard,uk.org.publicwhip/member/1587,Con
Michael,Jack,uk.org.publicwhip/member/1590,Con
Michael,Lord,uk.org.publicwhip/member/2019,DCWM
Michael,Mates,uk.org.publicwhip/member/1611,Con
Michael,Meacher,uk.org.publicwhip/member/1753,Lab
